                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2891,                 1.2788,                 1.2994,                0.94318,                    0.5,                0.54423,                 0.1501,                 2.7018,                 3.0334,                  3.043,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.1462,                 1.2494,                 1.2192,                0.62765,                0.33333,                0.29999,                0.13386,                 2.4584,                 3.3498,                 2.9794,               0.000505,               0.000505,               0.000505
                     52,                 1.3971,                 1.2619,                 1.3126,                0.62765,                0.33333,                0.29999,                0.13386,                 2.4584,                 3.3498,                 2.9794,               0.000505,               0.000505,               0.000505
                     53,                 1.3675,                 1.3837,                 1.2747,                0.62765,                0.33333,                0.29999,                0.13386,                 2.4584,                 3.3498,                 2.9794,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.3119,                 1.4399,                 1.3554,                 0.9167,                    0.5,                0.54669,                0.13744,                 2.4696,                 3.2351,                 2.8024,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.2429,                 1.3876,                 1.3657,                 0.9167,                    0.5,                0.54669,                0.13744,                 2.4696,                 3.2351,                 2.8024,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.1615,                 1.1174,                 1.2128,                 0.9167,                    0.5,                0.54669,                0.13744,                 2.4696,                 3.2351,                 2.8024,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.2001,                 1.3344,                 1.3411,                0.79875,                0.66251,                0.67224,                0.20628,                 2.4983,                 2.9162,                 2.7559,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.2572,                 1.3141,                 1.2229,                0.79875,                0.66251,                0.67224,                0.20628,                 2.4983,                 2.9162,                 2.7559,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.2482,                 1.1737,                 1.2512,                0.79875,                0.66251,                0.67224,                0.20628,                 2.4983,                 2.9162,                 2.7559,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.3444,                  1.216,                 1.3225,                0.93075,                0.66667,                0.69871,                0.19358,                 2.4288,                  2.833,                 2.7503,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.1805,                 1.2202,                  1.322,                0.93075,                0.66667,                0.69871,                0.19358,                 2.4288,                  2.833,                 2.7503,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.2598,                 1.1218,                  1.237,                0.93075,                0.66667,                0.69871,                0.19358,                 2.4288,                  2.833,                 2.7503,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.2985,                 1.3044,                 1.3134,                0.99917,                0.66667,                0.70804,                0.18675,                 2.3156,                 2.8996,                 2.8237,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.0969,                 1.2595,                 1.1891,                0.99917,                0.66667,                0.70804,                0.18675,                 2.3156,                 2.8996,                 2.8237,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.1709,                  1.367,                  1.255,                0.99917,                0.66667,                0.70804,                0.18675,                 2.3156,                 2.8996,                 2.8237,             0.00046899,             0.00046899,             0.00046899
                     66,                  1.249,                 1.2573,                 1.3517,                0.69911,                0.66667,                0.64505,                0.17104,                  2.351,                 2.8817,                 2.9526,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.0947,                 1.0975,                 1.2335,                0.69911,                0.66667,                0.64505,                0.17104,                  2.351,                 2.8817,                 2.9526,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.1363,                 1.1216,                 1.1803,                0.69911,                0.66667,                0.64505,                0.17104,                  2.351,                 2.8817,                 2.9526,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.2338,                 1.3054,                  1.223,                0.62109,                0.66667,                0.58897,                0.16021,                 2.3767,                 2.9111,                 3.0017,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.1198,                 1.1397,                 1.2116,                0.62109,                0.66667,                0.58897,                0.16021,                 2.3767,                 2.9111,                 3.0017,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.1575,                 1.1836,                 1.3248,                0.62109,                0.66667,                0.58897,                0.16021,                 2.3767,                 2.9111,                 3.0017,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.1322,                 1.0878,                 1.1702,                 0.5491,                0.66667,                0.54772,                0.14124,                 2.5366,                 2.8358,                 2.9233,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.0871,                  1.157,                 1.2271,                 0.5491,                0.66667,                0.54772,                0.14124,                 2.5366,                 2.8358,                 2.9233,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.2358,                  1.111,                 1.2513,                 0.5491,                0.66667,                0.54772,                0.14124,                 2.5366,                 2.8358,                 2.9233,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.0925,                 1.1262,                 1.1899,                0.96524,                0.33333,                0.40344,                0.12059,                  2.613,                 2.8603,                 2.9781,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.0897,                0.99677,                 1.1961,                0.96524,                0.33333,                0.40344,                0.12059,                  2.613,                 2.8603,                 2.9781,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.0396,                  1.013,                 1.1593,                0.96524,                0.33333,                0.40344,                0.12059,                  2.613,                 2.8603,                 2.9781,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.0051,                 1.0596,                 1.1405,                0.59439,                0.33333,                0.32578,                0.09384,                  2.613,                 3.0042,                 3.1187,             0.00036606,             0.00036606,             0.00036606
                     79,                0.94888,                 1.0261,                 1.1937,                0.59439,                0.33333,                0.32578,                0.09384,                  2.613,                 3.0042,                 3.1187,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.1026,                 1.0756,                 1.2604,                0.59439,                0.33333,                0.32578,                0.09384,                  2.613,                 3.0042,                 3.1187,             0.00034428,             0.00034428,             0.00034428
                     81,                 1.0222,                 1.0022,                 1.1655,                0.64575,                0.31241,                0.32445,                0.08068,                 2.7113,                 3.0214,                 3.1593,              0.0003328,              0.0003328,              0.0003328
                     82,                 1.1358,                 1.0571,                   1.25,                0.64575,                0.31241,                0.32445,                0.08068,                 2.7113,                 3.0214,                 3.1593,             0.00032092,             0.00032092,             0.00032092
                     83,                0.90919,                 1.1054,                 1.1613,                0.64575,                0.31241,                0.32445,                0.08068,                 2.7113,                 3.0214,                 3.1593,             0.00030865,             0.00030865,             0.00030865
